model,rmse_median,rmse_p25,rmse_p75
Ridge,6.776664254754251,6.369082240172256,7.214662488593622
SVR,1.5243323363495687,1.32098637907947,1.9100191276115237
MLP,3.4580210139635255,2.0233723509329344,7.382547945721689
