model,category,rmse_mean,rmse_sd,rmse_ci95_lo,rmse_ci95_hi,r2_mean,r2_sd,r2_ci95_lo,r2_ci95_hi
"MLP medium (32,16) [nn]",nn,2.617808070423997,1.7120759273993293,1.4922744431080988,4.339909411156293,0.7688475022656692,0.2906022595690636,0.4721214876113935,0.945405120331607
"MLP small (16,8) [nn]",nn,5.410238403973572,3.4453900255547625,2.4047226371400123,8.333575409508333,-0.013299309041461283,0.8406840322596735,-0.7488403886165287,0.7222417705336059
SVR(RBF) [shallow],shallow,1.3212249877324813,0.23120024656029395,1.0977410655957143,1.5089380565709822,0.9550608497369719,0.016315284154116424,0.9415844653605694,0.9701287713258501
RandomForest [shallow],shallow,1.9075123051078424,0.37134387650119954,1.6170603110595465,2.2574680650895984,0.9073095435751884,0.03817282289033513,0.8694176421797121,0.9346420707720767
Ridge(poly2) [shallow],shallow,6.3657426945159035,1.294081701368667,5.065734170021802,7.208096913263639,-0.026659301816820146,0.33948578501348575,-0.2633940819109839,0.2970795573595527
